source_map,example_id,domain,stage_index,instruction,current_evaluator,expected_artifact,status,snapshot_support,input_snapshot,gold_snapshot,merged_stage_indices,merged_artifacts,example_json,notes,recommended_fix
Microsoft_03,c325f2d9-3688-e32c-6321-76f1d8868eaf,excel,6,Could you create a bar chart based on the data in the table?,compare_xlsx_files,xlsx,qualified,full,20251222_011630,20251222_012941,[6],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/c325f2d9-3688-e32c-6321-76f1d8868eaf.json,Workbook drawing/chart count increased from 0 to 1.,
Microsoft_04,1c76dc2f-d131-1a2e-ae36-5f8968f2df8f,excel,1,Could you use OCR to extract Alphabet Inc.'s 2022-2024 revenue data from the screenshots into Excel?,compare_xlsx_files,xlsx,qualified,full,20251229_150302,20251229_150652,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/1c76dc2f-d131-1a2e-ae36-5f8968f2df8f.json,Target file changed between snapshots.,
Microsoft_04,4f8a05f5-afe3-2be4-e385-5ce939fc495d,excel,2,Could you merge the extracted revenue data into a consolidated table in Excel?,compare_xlsx_files,xlsx,qualified,full,20251229_150652,20251229_150721,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/4f8a05f5-afe3-2be4-e385-5ce939fc495d.json,Workbook non-empty cells increased from 45 to 46.,
Microsoft_04,8e6a3241-6386-2da3-d7d4-2c7a1ddeede6,excel,3,Could you calculate the Year-over-Year (YoY) growth rates for the revenue data in the consolidated table?,compare_xlsx_files,xlsx,qualified,full,20251229_150721,20251229_150847,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/8e6a3241-6386-2da3-d7d4-2c7a1ddeede6.json,Workbook non-empty cells increased from 46 to 68.,
Microsoft_04,e0187e3d-81d2-9d3d-d5bb-494b611d514c,excel,4,"Could you create a dashboard in Excel featuring Sparklines to analyze the revenue trends, and then add a dual-axis chart to the dashboard to further analyze the revenue and YoY growth trends?",compare_xlsx_files,xlsx,qualified,full,20251229_150847,20251229_151141,"[4, 5]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/e0187e3d-81d2-9d3d-d5bb-494b611d514c.json,Workbook drawing/chart count increased from 0 to 1.,
Microsoft_04,afa9858f-2308-1dac-2531-352461f49bba,excel,6,Could you save and export the final report as an Excel file?,compare_xlsx_files,xlsx,qualified,full,20251229_151141,20251229_151247,[6],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/afa9858f-2308-1dac-2531-352461f49bba.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_05,1d7b70f0-9538-fea9-d213-988fcf89ad44,excel,1,Could you open the Excel file containing the distributor boss contact information?,compare_xlsx_files,xlsx,qualified,full,20251230_091056,20251230_091205,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/1d7b70f0-9538-fea9-d213-988fcf89ad44.json,Target file appeared between snapshots.,
Microsoft_05,dfe739d2-97e3-d23e-7c68-97833cb8d9c7,excel,2,"Could you edit the contact list to include company name, boss name, and business title?",compare_xlsx_files,xlsx,qualified,full,20251230_091205,20251230_091238,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/dfe739d2-97e3-d23e-7c68-97833cb8d9c7.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_05,3dc63d44-5c3e-be54-7032-f01c31567b4c,word,3,Could you create a new Word document for the workshop invitations and design the invitation template?,compare_docx_files,docx,qualified,full,20251230_091238,20251230_091427,[3],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/3dc63d44-5c3e-be54-7032-f01c31567b4c.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_docx_files evaluator.,
Microsoft_05,4908a6df-5423-7d12-2285-fa789a2cff0b,multi_app,4,Could you use the Mail Merge feature in Word to import the contact information from the Excel file and generate individual invitations for each boss?,compare_docx_files,docx,qualified,full,20251230_091427,20251230_092035,[4],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/4908a6df-5423-7d12-2285-fa789a2cff0b.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_docx_files evaluator.,
Microsoft_06,6d8d4e42-5d48-98ca-953c-1283e89abaa9,excel,1,Could you format the master salary table in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_131032,20251230_131141,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6d8d4e42-5d48-98ca-953c-1283e89abaa9.json,Workbook non-empty cells increased from 134 to 156.,
Microsoft_06,9b0e954e-2062-30fd-5059-d321cd7028a4,excel,2,"Could you calculate the total and average compensation using SUM, AVERAGE, and AVERAGEIF functions in Excel?",compare_xlsx_files,xlsx,qualified,full,20251230_131141,20251230_131553,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/9b0e954e-2062-30fd-5059-d321cd7028a4.json,Workbook non-empty cells increased from 157 to 163.,
Microsoft_06,b00e588e-6e62-fcc3-10f4-5dfcdd9ee7d4,excel,3,Could you determine the employee distribution across specific salary and title brackets using COUNTIFS in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_131553,20251230_131929,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/b00e588e-6e62-fcc3-10f4-5dfcdd9ee7d4.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_06,b82ddb57-decd-abb8-ffee-11ad25670e5a,excel,4,Could you apply conditional formatting to highlight top performers and below-average earners in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_131929,20251230_132037,[4],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/b82ddb57-decd-abb8-ffee-11ad25670e5a.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_06,a5c53a41-e531-c3e8-0503-6b41665fa19f,excel,5,Could you generate a 3D Clustered Column chart to visualize the results in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_132037,20251230_132441,[5],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/a5c53a41-e531-c3e8-0503-6b41665fa19f.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_06,2ec9d917-01e3-c0bb-9240-fc0785e89154,excel,6,Could you rename the final workbook sheet in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_132441,20251230_132501,[6],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/2ec9d917-01e3-c0bb-9240-fc0785e89154.json,Workbook sheet names changed between snapshots.,
Microsoft_06,60ba3197-93b0-160b-b9cc-cc79611e2a91,excel,7,Could you save the final workbook in Excel?,compare_xlsx_files,xlsx,qualified,full,20251230_132501,20251230_132520,[7],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/60ba3197-93b0-160b-b9cc-cc79611e2a91.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_07,37eae9f1-8b7f-647e-b424-3f23a0a89419,excel,1,Could you enter and calculate the quarterly sales data in Microsoft Excel 365?,compare_xlsx_files,xlsx,qualified,full,20251230_185458,20251230_185715,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/37eae9f1-8b7f-647e-b424-3f23a0a89419.json,Workbook non-empty cells increased from 0 to 21.,
Microsoft_07,62f5260b-50a7-2cfb-0d77-67d9e366dc6d,excel,2,Could you format the sales data as a table in Excel for clarity?,compare_xlsx_files,xlsx,qualified,full,20251230_185715,20251230_185754,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/62f5260b-50a7-2cfb-0d77-67d9e366dc6d.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_07,6ac63699-a8eb-2229-e06d-b7b167d8a87f,ppt,3,Could you open Microsoft PowerPoint 365 and create a new summary slide?,compare_pptx_files,pptx,qualified,full,20251230_185754,20251230_185935,[3],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/ppt/6ac63699-a8eb-2229-e06d-b7b167d8a87f.json,Target file changed between snapshots.,
Microsoft_07,fcf92e98-69c0-73a8-972b-ffdc3475f222,multi_app,4,Could you visualize the sales data with a chart in PowerPoint?,compare_pptx_files,pptx,qualified,full,20251230_185935,20251230_190100,[4],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/fcf92e98-69c0-73a8-972b-ffdc3475f222.json,Target file changed between snapshots.,
Microsoft_07,52b304f3-c385-df82-f6b5-10c478f9082f,ppt,5,Could you adjust the text and chart elements in PowerPoint to produce a clear and professional sales presentation?,compare_pptx_files,pptx,qualified,full,20251230_190100,20251230_190357,[5],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/ppt/52b304f3-c385-df82-f6b5-10c478f9082f.json,Target file changed between snapshots.,
Microsoft_08,1b2a208f-19ce-66a8-04b9-d84d93b6be7a,excel,1,Could you open Microsoft Excel 365 and create a new workbook for the customer satisfaction survey data?,compare_xlsx_files,xlsx,qualified,full,20260104_151321,20260104_151336,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/1b2a208f-19ce-66a8-04b9-d84d93b6be7a.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
